configuration_id,TARGET_CLASS,criterion,Coverage,BranchCoverage,CBranchCoverage,Total_Branches,Covered_Branches,Covered_Branches_Real,Total_Goals,Covered_Goals;
COVERAGE,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
COVERAGE,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
COVERAGE,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
COVERAGE,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
COVERAGE,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
COVERAGE,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
COVERAGE,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
COVERAGE,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
COVERAGE,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
COVERAGE,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,BRANCH;CBRANCH,0.0,0.0,0.0,90,0,0,186,0
DEFAULT,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
DEFAULT,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
DEFAULT,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
DEFAULT,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
DEFAULT,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
DEFAULT,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
DEFAULT,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
DEFAULT,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
DEFAULT,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
DEFAULT,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
CMX,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
CMX,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
CMX,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
CMX,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,BRANCH;CBRANCH,1.0,1.0,1.0,26,26,26,156,156
